POST_ID,POST_TOPIC_TAGS,POST_CROP_TAGS,POST_TYPE
9c165800-31f4-4b92-8cf3-4f0ca089d0ad,[],"[
  [
    ""Banana""
  ]
]",content
22fba244-98cf-4f36-9230-def4432dd3d7,[],"[
  [
    ""cumin""
  ]
]",infographic
55b5fa0b-5549-4a65-84d4-d5207718e474,"[
  [
    ""Organic Fertilizer""
  ]
]",[],content
54197906-f55d-40e6-8f26-0c46c1578aca,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
10af249d-40b4-42b1-a974-407ab7bea058,"[
  [
    ""Agriculture News""
  ]
]",[],content
34b79bac-f901-435e-9a4d-038f263c4002,"[
  [
    ""Success Story""
  ]
]",[],content
d428cb0a-7fb7-4357-9ee2-019373d4bb73,"[
  [
    ""Success Story""
  ]
]",[],content
28276124-397f-4f8b-8049-67098b5de16c,"[
  [
    ""animal husbandry""
  ]
]",[],content
496540dc-50db-49fe-b94b-612cdfc9fd25,"[
  [
    ""animal husbandry"",
    ""Animal Feed""
  ]
]",[],infographic
27878144-ee11-44f5-a2bd-514c70470c20,"[
  [
    ""Agriculture News"",
    ""subsidy""
  ]
]",[],content
024ca375-e7ee-4062-9299-805fce5590eb,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""onion""
  ]
]",content
c6b18085-c5d5-4332-ad3a-8e29b76c66ad,"[
  [
    ""farm machinery"",
    ""buy-sell""
  ]
]",[],infographic
ea96f399-55b3-4c2d-9cbc-cf967ac6bf92,[],"[
  [
    ""Teak""
  ]
]",content
bc2b7063-3d3d-4cf4-a2d3-3b88449e9afe,"[
  [
    ""quiz""
  ]
]",[],infographic
4bbce00d-beec-4b7a-8f0c-35c59a028e18,"[
  [
    ""farm machinery""
  ]
]","[
  [
    ""Wheat""
  ]
]",infographic
3c68a920-9b18-4485-ad8c-03f716883c99,"[
  [
    ""buy-sell""
  ]
]","[
  [
    ""Mustard""
  ]
]",infographic
7bd7dc70-cd9b-4623-96fd-bffb7dfeab90,"[
  [
    ""Today Tips""
  ]
]","[
  [
    ""Radish""
  ]
]",infographic
93e6b7a9-1d82-4aed-8708-04c8f8a2c9c1,"[
  [
    ""quiz""
  ]
]",[],infographic
3d4f1973-f906-4b6f-945a-3caf6acd4ea4,"[
  [
    ""Success Story"",
    ""Agriculture News""
  ]
]",[],content
275d3528-8602-4211-b3d0-fd6988b92b4e,[],"[
  [
    ""Wheat"",
    ""cabbage"",
    ""Turnip"",
    ""brinjal"",
    ""Radish"",
    ""tomato"",
    ""onion"",
    ""Spinach""
  ]
]",infographic
fee96262-8eea-4b72-ac7c-4d8c018bb1e6,"[
  [
    ""seeds"",
    ""Agriculture News""
  ]
]","[
  [
    ""Wheat"",
    ""Barley""
  ]
]",content
0990983c-e493-4a3a-b7a1-a78ff70b3586,"[
  [
    ""Agriculture News""
  ]
]",[],content
5924e3da-1648-44d7-b0aa-b90a57f93e88,"[
  [
    ""poultry farming""
  ]
]",[],content
cfe319a3-e9b2-4c79-b43a-4b2aa63b0fe8,[],"[
  [
    ""Parval""
  ]
]",content
a1038e65-9695-4aa4-94be-77d1cb4f9488,"[
  [
    ""Mandi Rates""
  ]
]",[],video
f4b9223d-7a3d-414e-a849-89bdf807787b,"[
  [
    ""Agriculture News""
  ]
]",[],content
dd8e1b28-141a-457d-bd73-d79f4d1e9ad6,"[
  [
    ""Agriculture News""
  ]
]",[],content
2a28ab0b-cd45-40b7-bab6-65118c3aa387,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""peanut""
  ]
]",content
ad745544-bc76-4a71-b405-c2408c83507d,"[
  [
    ""Success Story""
  ]
]",[],content
0a83b972-dca2-4a43-84c4-2f285f3d4fec,"[
  [
    ""Success Story""
  ]
]",[],content
610bc5e9-4a9c-4be7-beda-68bc6a318a62,"[
  [
    ""Agriculture News""
  ]
]","[
  [
    ""paddy (rice)"",
    ""cotton""
  ]
]",content
25c6f2c1-ada2-476c-9c19-36f94a167c7c,"[
  [
    ""Agriculture News""
  ]
]",[],content
846e8248-7382-4d3c-9b16-f5a6306bb840,"[
  [
    ""Government Schemes""
  ]
]",[],infographic
0cf90155-594b-40ed-8cf3-44a3b9ee032c,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Guava""
  ]
]",content
613e6f42-d884-4ae8-aeef-f4430778cfc6,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""cotton""
  ]
]",infographic
2b46701e-02e9-43aa-8ac4-8b4b86a3d531,[],"[
  [
    ""Wheat""
  ]
]",content
8ed6b70e-2741-4cfc-a6b4-db382ebedb1e,"[
  [
    ""Agriculture News""
  ]
]",[],content
62060e81-fc51-47fd-b47d-0382b224caeb,"[
  [
    ""Agriculture News""
  ]
]",[],video
1d2170bc-78d9-437a-8b0d-5eb5dd4f7208,"[
  [
    ""Success Story""
  ]
]",[],content
c01b5851-9ac7-4850-bbe3-6f96021f1d6a,"[
  [
    ""buy-sell"",
    ""Organic Fertilizer""
  ]
]",[],infographic
8e55b2be-89d0-48e4-aaa2-04734c4b4134,[],"[
  [
    ""Rijka"",
    ""Barseem"",
    ""Oat""
  ]
]",video
e0ce3577-70d5-4bd9-a0af-9e59cfc0710b,"[
  [
    ""Agriculture News""
  ]
]",[],content
